"Country","Alcoholic Beverages","Animal Products","Animal fats","Aquatic Products, Other","Cereals - Excluding Beer","Eggs","Fish, Seafood","Fruits - Excluding Wine","Meat","Milk - Excluding Butter","Offals","Oilcrops","Pulses","Spices","Starchy Roots","Stimulants","Sugar Crops","Sugar & Sweeteners","Treenuts","Vegetal Products","Vegetable Oils","Vegetables","Miscellaneous","Obesity","Undernourished","Confirmed","Deaths","Recovered","Active","Population","Unit (all except Population)"
"Belgium",0.5466,28.4976,0.4678,0,13.7687,1.9599,2.999,0.6156,10.0507,11.9121,1.0981,0.2216,0.6993,0.1182,1.9304,0.4235,0,0.0049,0.5417,21.5098,0.1133,2.5213,0,24.5,"<2.5",5.86269214068606,0.176743378202345,0,5.68594876248372,11515000,"%"
"Belize",0.201,18.9431,0.0893,0,18.6156,0.9378,2.3074,1.5035,10.748,4.5999,0.2531,1.7864,5.9918,0.0521,0.4094,0.2903,0,0,0.1265,31.0607,0.0372,1.3844,0.6624,22.4,"7.5",2.75155131264916,0.0670644391408114,2.5417661097852,0.14272076372315,419000,"%"
"Benin",0.7448,11.1646,0.0078,0,18.3955,0.225,3.6853,0.3491,5.6948,1.094,0.45,3.2508,4.275,1.6293,7.7818,0.0233,0,0,0.5741,38.8393,0,1.7457,0.0698,8.2,"10.1",0.0279547874518798,0.000376771234335326,0.0265787533786551,0.000999262838889344,12209000,"%"
"Bolivia",0.1826,22.6898,0.0219,0,18.0364,1.461,0.5552,0.9131,17.0794,3.2143,0.3506,0.5114,2.0747,0.1023,3.4772,0.4894,0,0,0.431,27.3139,0.0146,0.9204,0.1607,18.7,"17.1",1.57817415971804,0.0822745637410814,1.22306369810023,0.27283589787673,11633000,"%"
"Bosnia and Herzegovina",0.5332,18.3339,0.0633,0,19.2578,0.7918,0.8341,0.7338,6.7096,9.3808,0.5543,0.6863,1.6998,1.3461,1.8582,0.9449,0,0.0053,0.2059,31.6634,0.0158,4.1651,0.2164,19.4,"<2.5",3.56632124352332,0.134440719292898,2.58000609570253,0.851874428527888,3281000,"%"
"Botswana",0.3682,20.29,0.1534,0,21.8932,0.3299,0.8208,0.3759,8.3615,9.3971,1.2274,1.5572,1.3194,0.4066,1.7413,0.3068,0,0,0.0384,29.71,0.0153,1.189,0.4986,16.1,"26.4",0.74946050927924,0.00306430729391454,0.583470004315926,0.1629261976694,2317000,"%"
"Brazil",0.2807,29.0557,0.1266,0,12.1671,1.1831,1.3537,0.7759,18.7486,7.0053,0.6383,0.4788,4.7326,0.022,0.864,0.6879,0.022,0.0165,0.066,20.9443,0.022,0.8089,0,22.3,"<2.5",3.96270843955961,0.0983164315525088,3.51164003928012,0.352751968726984,211812000,"%"
"Bulgaria",0.6659,24.988,0.24,0.012,17.5666,1.6079,1.3379,0.7499,11.6331,8.7833,1.3739,0.7619,0.7859,1.6319,0.6959,0.588,0,0,0.132,25.012,0.024,1.3139,0.096,27.4,"3.6",3.05331312256388,0.122087483759203,2.25249025552187,0.678735383282806,6927000,"%"
"Burkina Faso",1.366,7.1846,0.0066,0,29.1784,0.4466,1.4842,0.0591,2.975,1.7666,0.5057,5.7595,5.6019,0.0657,0.2496,0.0328,0,0,0.0854,42.8121,0,0.3809,0.0394,4.5,"20",0.042491508395924,0.000464048222743147,0.0336171841362484,0.0084102760369325,20903000,"%"
"Cabo Verde",0.3173,18.5332,0.0649,0.0072,20.5668,1.0024,2.3004,0.649,8.4734,6.3172,0.3678,0.3534,5.2138,0.6707,1.0673,0.2885,0,0,0.0505,31.4704,0.0361,1.6875,0.5625,10.6,"12.6",2.2978417266187,0.0212230215827338,2.16798561151079,0.10863309352518,556000,"%"
"Cambodia",0.4817,14.6494,0.0153,0,25.843,0.2982,10.2607,0.2982,3.2571,0.3441,0.474,4.5722,2.2173,0.1988,0.5046,0.0535,0.0153,0,0.0382,35.3544,0,0.8946,0.2294,3.5,"16.4",0.00281344776408337,0,0.00246499322449506,0.000348454539588307,15497000,"%"
"Cameroon",0.5688,8.1066,0.0144,0,19.7696,0.072,3.4197,1.5119,3.4845,0.8063,0.3168,3.8301,8.9777,0.8567,3.3261,0.1008,0,0,0.3168,41.8934,0.0072,2.5414,0.0792,9.5,"9.9",0.102774644710129,0.00169561621174524,0.0935859839085646,0.00749304458981878,26598000,"%"
"Canada",0.3458,25.1828,0.6868,0.0049,12.9249,2.0553,2.8755,0.6868,13.7253,5.7905,0.0445,2.416,3.7451,0.1532,1.3785,0.6374,0,0.0099,0.5534,24.8172,0.084,1.5909,0.2915,31.3,"<2.5",1.83434930610107,0.0464598062319979,1.59288295365279,NA,38190000,"%"
"Central African Republic",0.2045,21.8538,0.0969,0,8.8276,0.1507,2.433,1.0012,15.3192,1.6363,2.2069,3.6064,5.5765,0.0108,7.7726,0.3876,0,0.0431,0,28.1516,0,0.689,0.0323,6.3,"59.6",0.10296066252588,0.00130434782608696,0.101138716356108,0.0005175983436853,4830000,"%"
"Chad",0.0567,15.4353,0.0425,0,22.6744,0.0709,2.2689,0.0993,7.4872,2.7723,2.8006,6.6931,3.7365,0,1.1132,0.0142,0,0,0,34.5576,0,0.1631,0.0142,4.8,"37.5",0.016632102861883,0.000657699828168513,0.0123244652485631,0.00364993778515139,16877000,"%"
"Chile",0.2314,25.6899,0.1016,0,17.7775,1.6141,2.0374,0.4966,16.5077,5.226,0.1919,0.4571,1.3996,0.0282,1.8285,0.316,0,0,0.2653,24.3185,0.0169,1.4222,0.0734,28.8,"2.7",3.39589111453518,0.0892090395480226,3.17088854648177,NA,19470000,"%"
"China",0.1648,30.6446,0.0471,0.0515,10.8868,2.7059,5.9326,0.437,16.3074,2.4705,3.1282,1.7892,0.3149,0.0765,0.5253,0.387,0.0015,0.0088,0.6092,19.3546,0.0059,3.6829,0.4679,6.6,"8.5",0.00696071335617537,0.000341988826178261,0.00649607632711417,0.000122648202882946,1402385000,"%"
"Colombia",0.2626,25.6945,0.0346,0,15.038,2.3981,1.4444,2.1493,12.4395,8.4243,0.9468,0.6496,2.3497,0.1106,1.8037,0.1313,0.0138,0.4699,0.2211,24.3124,0.0346,0.9883,0.0829,22.1,"4.8",3.78241849364938,0.0968125556184775,3.43511245044899,0.250493487581911,49444000,"%"
"Congo",0.7335,23.8551,0.0089,0,13.2021,0.1431,7.898,0.9034,13.5599,0.5725,1.6726,1.7531,1.61,0.0089,4.9732,0.0716,0,0,0.0089,26.1449,0.0179,2.7102,0.1521,8.4,"40.3",0.512232693004712,0.0134469010511055,0.373686118158753,0.125099673794853,5518000,"%"
"Costa Rica",0.0739,28.0821,0.0739,0,12.6794,1.7744,3.5672,0.8441,10.3814,11.7861,0.499,1.4602,4.2943,0.1047,0.6099,0.5545,0,0.0123,0.1417,21.921,0.0062,1.0351,0.0986,25.7,"4.8",3.60373703776169,0.0472705928389748,2.76607317550382,0.7903932694189,5111000,"%"
"Cote d'Ivoire",0.1859,11.5833,0,0,20.0997,0.49,4.5708,1.0983,4.4187,0.6506,1.4447,2.2727,1.1406,0.4309,9.4627,1.4109,0,0,0.997,38.4167,0.0084,1.2842,0.0338,9,"19",0.0949608404966571,0.000538681948424069,0.0882674307545368,0.00615472779369627,26175000,"%"
"Croatia",0.642,29.7692,0.1162,0,13.4872,1.3061,3.1767,0.5811,12.7677,11.4561,0.9408,0.5866,0.2601,0.0775,0.8966,0.9242,0,0.0387,0.249,20.2335,0.0221,2.4683,0,27.1,"<2.5",5.56746268656716,0.11318407960199,5.33853233830846,0.115746268656716,4020000,"%"
"Cuba",0.1187,18.4193,0.0057,0,17.5712,1.3795,0.8706,1.1703,11.1771,4.3024,0.6841,2.6063,6.5242,0.0283,1.2438,0.1753,0,0,0,31.5807,0,2.1088,0.0339,26.7,"<2.5",0.151546848683627,0.00143604290399787,0.114723871997163,0.0353869337824661,11281000,"%"
"Cyprus",0.2117,28.43,0.0436,0,13.695,1.4698,4.2661,0.8657,14.6478,7.3613,0.6352,1.1335,1.1335,0.081,0.5418,0.6415,0,0.0062,0.4048,21.5669,0.0125,2.1548,0.6975,22.6,"5.6",2.37025683512842,0.0137531068765534,0.170422535211268,2.1860811930406,1207000,"%"
"Czechia",1.1737,30.7412,0.3469,0,12.3208,1.4801,1.5611,0.5608,14.7375,11.9392,0.6765,0.3238,0.7227,0.0925,1.5842,0.5666,0,0.0173,0.2024,19.2588,0.0578,1.4801,0.1561,28.5,"<2.5",8.16167413213886,0.130916386711459,6.69623926838372,1.33451847704367,10716000,"%"
"Denmark",0.3937,32.3912,0.4246,0,12.04,2.3133,3.7288,0.5485,12.5265,12.009,1.3889,0.3185,0.1902,0.1902,0.9731,0.9245,0,0.0044,0.4423,17.6088,0.0575,1.526,0,21.3,"<2.5",3.22521873391662,0.029524789843884,2.84475896380168,0.350934980271059,5829000,"%"
"Djibouti",0.0225,9.6191,0.0225,0,29.5547,0.2399,0.8097,0.3674,4.3035,3.4863,0.7647,0.2549,6.2828,0.2699,0.5248,0.1949,0,0,0.105,40.3809,0.0075,2.4142,0.3749,12.2,"18.9",0.59746963562753,0.00617408906882591,0.588663967611336,0.00263157894736842,988000,"%"
"Dominica",0.038,27.2601,0.0634,0,11.2385,0.4245,5.4165,2.9142,12.2648,8.3434,0.7475,0.7095,1.7738,0.4371,3.2626,0.6018,0,0,0.0063,22.7431,0.0127,1.4634,0.2787,28.2,"6.2",0.151388888888889,0,0.140277777777778,0.0111111111111111,72000,"%"
"Dominican Republic",0.4784,25.6914,0.0224,0,13.1111,2.0631,2.0182,3.5207,12.9167,7.1386,1.5324,0.7774,3.7823,0.0747,0.8073,0.4111,0,0,0.0374,24.3086,0,0.9643,0.3438,26.9,"9.5",1.79970476190476,0.0231619047619048,1.3422,0.434342857142857,10500000,"%"
"Ecuador",0,22.7577,0.0988,0.0076,22.6665,1.6038,1.6494,1.1022,11.09,7.3579,0.9425,0.6385,0.8893,0.0532,0.8665,0.0532,0,0,0.0304,27.2423,0.0152,0.7753,0.1596,19.3,"7.9",1.29556278910399,0.0815087659185655,1.1054822682885,0.108571754896922,17511000,"%"
"Egypt",0.0052,12.4994,0.0467,0,30.3504,0.5243,3.4934,1.0849,5.1077,2.0919,1.2302,0.5969,1.6818,0.2128,0.6696,0.2024,0.1298,0,0.0467,37.5032,0.0052,2.4916,0.026,31.1,"4.5",0.153388292015119,0.00840550380445027,0.120821800938464,0.0241609872722042,100803000,"%"
"El Salvador",0.1203,17.3405,0.0468,0,20.588,1.5904,1.4701,0.7952,6.8961,7.0364,0.3074,1.3699,6.8426,0.0267,0.7551,0.294,0,0,0.0334,32.6495,0.0267,1.5035,0.3074,22.7,"9",0.773908347477241,0.0226662552075297,0.683598210152754,0.0676438821169573,6481000,"%"
"Estonia",0.5907,28.6013,0.2233,0,15.0751,1.7071,1.735,0.5023,8.8097,15.424,0.7024,0.1861,0.8559,0.1674,1.3582,0.7535,0,0.0047,0.3582,21.401,0.0233,1.4745,0.0465,23.8,"2.9",2.71194590533434,0.0237415477084899,1.9198347107438,0.768369646882044,1331000,"%"
"Eswatini",0.6034,14.768,0.0489,0,27.0081,0.4077,0.9296,0.7421,8.8396,3.4086,1.1253,1.3129,1.8511,0.4322,1.9979,0.1468,0,0,0.1794,35.2361,0,0.7747,0.1876,13.5,"20.6",1.13514492753623,0.0310688405797101,0.731521739130435,0.372554347826087,1104000,"%"
"Ethiopia",0.1676,4.4561,0.0076,0,29.7303,0.099,0.1066,0.1143,1.6834,2.1938,0.3656,0.8074,10.748,0.7693,2.3461,0.3047,0,0,0.0838,45.5515,0,0.457,0.0076,3.6,"20.6",0.113409794980682,0.00176041630408298,0.100445542831285,0.0112038358453131,114916000,"%"
"Fiji",0.2232,21.1078,0.2435,0,16.8335,0.8386,6.3303,0.3043,10.1515,2.7323,0.8116,1.8734,4.6936,0.1826,2.7797,0.3382,0,0,0.0609,28.8922,0.0203,1.5014,0.0812,30,"3.7",0.00591517857142857,0.000223214285714286,0.00524553571428571,0.000446428571428571,896000,"%"
"Finland",0.4797,31.2205,0.2505,0,13.0758,1.1632,3.8251,0.5434,11.1059,14.3706,0.501,0.3524,0.3099,0.0425,1.1123,1.0826,0,0.0042,0.1826,18.7816,0.0594,1.1038,0.433,24.9,"<2.5",0.721848435521794,0.0111774281063483,0.560680050642069,0.149990956773377,5529000,"%"
"France",0.1784,31.0849,0.2677,0,13.4993,1.6015,3.9079,0.6513,12.8703,11.1617,1.2714,0.4104,0.513,0.0401,0.977,0.7361,0,0.0045,0.3569,18.9195,0.0134,1.4811,0.0535,23.2,"<2.5",4.51400677548506,0.107930397289806,0.329530335694487,4.07600092392978,64940000,"%"
"French Polynesia",0.3778,32.9981,0.2042,0.0153,10.705,1.1741,7.0448,0.3931,18.8677,4.768,0.9189,1.0618,0.6636,0.0255,0.9036,0.3471,0.0255,0,0.1174,17.0044,0.0153,1.2558,1.1129,NA,"4.2",NA,NA,NA,NA,280000,"%"
"Gabon",0.6967,24.3394,0.0188,0,15.1258,0.1695,5.2846,1.6507,14.6928,1.7071,2.4666,3.3264,0.069,0,3.3202,0.1004,0.0063,0,0.0126,25.6637,0.0126,0.9352,0.4017,13.4,"10.5",0.443702375616316,0.00295831465710444,0.432900044822949,0.00784401613626177,2231000,"%"
"Gambia",0.2116,13.0026,0.0078,0,26.687,0.3213,6.7403,0.0705,2.3513,3.3702,0.2116,8.0649,0.4232,0.0078,0.1332,0.4232,0,0,0.1019,37.0013,0.0157,0.6427,0.2116,8.7,"10.2",0.161232933388498,0.00525444766239139,0.152627223831196,0.00335126189491105,2417000,"%"
"Georgia",0.1495,18.4294,0.169,0,27.2574,1.1636,1.4822,0.3835,6.7867,8.2299,0.5981,0.299,0.013,0.0715,1.2936,0.6436,0,0.0065,0.2665,31.5673,0.026,0.8906,0.273,23.3,"7.9",6.61612382234186,0.0778734858681023,6.16947510094213,0.368775235531629,3715000,"%"
"Germany",0.6525,30.2658,0.3023,0,12.9162,1.7081,2.0631,0.6237,13.7703,12.0526,0.3646,0.7821,0.2351,0.12,1.3051,0.6669,0,0.0048,0.7005,19.7342,0.0288,1.7033,0,25.7,"<2.5",2.42956542617047,0.0548679471788715,1.99781032412965,0.376887154861945,83300000,"%"
"Ghana",0.1509,12.1922,0.0079,0,16.2272,0.2701,6.6164,2.5417,4.1064,0.5878,0.5957,2.5576,3.2089,1.2073,10.8181,0.0159,0.0318,0,0.1191,37.8157,0.0159,0.8419,0.0715,9.7,"5.5",0.183377852154604,0.00109741576288096,0.177762044218453,0.0045183921732694,31073000,"%"
"Greece",0.2376,26.9807,0.0998,0,14.543,1.2737,2.6995,0.9981,10.9548,11.0689,0.884,0.6036,1.3593,0.0665,1.1121,0.6273,0,0.0095,0.8887,23.0217,0.0285,2.3193,0.2234,27.4,"<2.5",1.3818691588785,0.0506635514018692,0.876299065420561,0.454906542056075,10700000,"%"
"Grenada",0.1204,30.3273,0.0567,0,12.2414,1.8631,5.9719,1.4452,15.3939,6.5812,0.4605,0.5809,2.6991,0.5667,0.6801,0.1204,0,0,0.0425,19.6727,0.0283,0.7793,0.3684,20.2,NA,0.123008849557522,0.000884955752212389,0.114159292035398,0.0079646017699115,113000,"%"
"Guatemala",0.0787,15.405,0.0358,0,23.6119,2.6188,0.5581,0.6583,8.7221,2.9408,0.5366,1.431,6.597,0.0859,0.2504,0.4865,0,0,0.1002,34.595,0.0143,1.1806,0.093,18.8,"15.2",0.816782907118344,0.0286560389682276,0.737390678622827,0.0507361895272888,18066000,"%"
"Guinea",0.0404,9.2262,0.0162,0,26.1017,0.4286,2.442,1.3019,4.1077,1.4797,0.7601,3.5417,2.159,0,3.0403,0.2183,0,0,0,40.7779,0.0081,4.2371,0.1132,6.6,"16.5",0.111982484076433,0.000644904458598726,0.106035031847134,0.00530254777070064,12560000,"%"
"Guinea-Bissau",0.1925,10.5663,0.034,0,30.7701,0.2718,0.4077,0.9966,6.761,2.1857,0.906,1.2684,1.3364,0,1.88,0.0793,0,0,1.8913,39.4337,0.0113,0.7928,0.2152,8.2,"28",0.128593668915413,0.00233523611831863,0.124545926310327,0.001712506486767,1927000,"%"
"Guyana",0.1537,22.1489,0.0114,0,15.7922,0.2902,4.6153,0.8821,8.5306,8.5249,0.1821,2.0885,2.3902,0.6203,0.7341,0.2959,0,0,0.1821,27.8511,0.0285,4.456,0.2219,19.2,"8.1",0.864675984752224,0.0216010165184244,0.772935196950445,0.0701397712833545,787000,"%"
"Haiti",0,9.993,0.03,0,22.5894,0.1302,1.3217,1.2616,6.138,1.6922,0.6809,1.3117,10.3835,0,2.6434,0.8511,0,0.01,0,40.012,0.01,0.801,0.1402,20.5,"49.3",0.0932649302815049,0.00208717004297115,0.0780759449267737,0.0131018153117601,11403000,"%"
"Honduras",0.1091,17.3784,0.0156,0,23.5193,0.9196,0.6546,0.7481,9.11,6.1253,0.5533,0.2182,6.1877,0.0312,0.1948,0.6858,0,0,0.039,32.6216,0.0156,0.6858,0.187,19.4,"12.9",1.34237631792376,0.0339010543390105,0.608840227088402,0.69963503649635,9864000,"%"
"Hungary",0.5289,28.3269,0.5687,0,15.6506,2.4056,1.035,0.4208,14.4791,9.8157,0.0171,0.2616,1.0009,0.1877,1.1601,0.4777,0,0,0.0284,21.6731,0.1081,1.8369,0.0171,28.6,"<2.5",3.57478243063377,0.114436367359476,2.30389065219617,1.15645541107812,9767000,"%"
"Iceland",0.3794,35.786,0.3298,0,9.3826,1.2163,9.3968,0.6383,11.7124,12.5102,0.617,0.5142,0.1596,0.1312,0.5674,0.9184,0,0.0035,0.1773,14.2158,0.0035,0.9787,0.3617,23.1,"<2.5",1.61847826086957,0.0078804347826087,1.56711956521739,0.0434782608695652,368000,"%"
"India",0.0077,11.2582,0.0306,0,25.2794,0.7271,1.5537,0.6659,1.0179,7.8142,0.1225,1.1174,7.2096,0.8189,0.8955,0.176,0,0.0459,0.1837,38.7418,0,2.3343,0,3.8,"14.5",0.753006285265338,0.0108630097850154,0.727070566388115,0.0150727090922077,1400100000,"%"
"Indonesia",0.0073,16.164,0.0219,0,27.3237,1.2821,10.1617,0.743,2.921,1.0854,0.692,2.3529,0.4953,0.3351,0.7503,0.4006,0,0.0219,0.102,33.836,0,1.2966,0.0073,6.9,"8.3",0.32472997987039,0.00937811650149592,0.264480254950522,0.050871608418372,271739000,"%"
"Iran (Islamic Republic of)",0,14.4317,0.2626,0,26.42,1.2388,1.9124,1.2274,7.6383,2.8201,0.5537,0.1313,2.4034,0.177,0.9248,0.3311,0,0.0057,1.3701,35.5712,0.0057,2.5746,0,25.5,"4.9",1.56660130718954,0.0672857991681521,1.3155210932858,0.183794414735591,84150000,"%"
"Iraq",0.0083,11.1909,0.033,0,33.7215,2.2877,0.7433,0.7763,5.7648,2.2547,0.1074,0.3799,1.8996,0.0496,0.223,0.3469,0,0,0.2065,38.8173,0.0165,0.9911,0.1817,27.4,"29",1.52798237885463,0.0325538074260541,1.42451604782882,0.0709125235997483,39725000,"%"
"Ireland",0.7787,28.5256,0.3115,0,14.0504,1.4017,3.2849,0.8543,13.5407,9.6847,0.3021,0.5569,0.7363,0.0991,1.364,0.59,0,0.0047,0.3351,21.4791,0.0425,1.9681,0.0897,26.9,"<2.5",3.32896262242654,0.050689586248251,0.466999800119928,2.81127323605837,5003000,"%"
"Israel",0.11,29.564,0.0204,0.0041,12.7832,1.2755,2.6773,0.8476,16.5363,8.3374,0.7131,1.5444,1.4792,0.0652,0.6846,0.4931,0,0.0041,0.5134,20.436,0.0326,1.7889,0.0896,26.7,"<2.5",5.80565321180555,0.0424262152777778,4.91674262152778,0.846484375,9216000,"%"
"Italy",0.1827,26.7179,0.1405,0,16.4832,1.7191,3.7754,0.8853,12.5299,8.0191,0.5293,0.178,1.4848,0.0141,0.7167,0.5996,0,0,0.5855,23.2845,0.0141,1.9907,0.1499,22.9,"<2.5",3.90145780814648,0.134876277033302,2.84103423112644,0.925547299986732,60296000,"%"
"Jamaica",0.103,24.6534,0.048,0.0137,16.5134,0.3912,4.8593,1.0913,12.6081,5.7515,0.9883,0.9266,1.2286,1.1187,1.9149,0.3226,0,0,0.0412,25.3466,0.0343,1.6747,0.3706,24.4,"8",0.49811320754717,0.011498754004984,0.414026343894624,0.0725881096475614,2809000,"%"
"Japan",0.2541,27.7588,0.0058,0.0635,12.4213,3.5687,9.5744,0.3292,9.8112,4.1058,0.6294,4.9835,0.4966,0.1848,0.5139,0.6699,0.052,0.0462,0.2079,22.2383,0.0289,1.9923,0.0635,4.4,"<2.5",0.252344661697111,0.00333738201274937,0.189185262806926,0.0598220168774362,125967000,"%"
"Jordan",0.0072,17.4589,0.0289,0,24.224,0.7235,1.1287,0.615,10.361,4.7826,0.4414,1.0636,2.735,0.0941,0.4992,0.6295,0,0,0.4052,32.5447,0.0145,2.0838,0.1592,33.4,"12.2",2.92959078565409,0.0385897555950932,2.76903268096264,0.121968349096357,10679000,"%"
"Kazakhstan",0.2369,28.9452,0.2053,0,14.0383,1.3317,0.658,0.5211,12.4803,12.8645,1.4107,0.4264,0.1579,0.0316,2.3739,0.4422,0,0,0.3211,21.0496,0.0316,2.3213,0.1526,21.3,"<2.5",1.14165598975016,0.0153907751441384,0.997538970745249,0.128726243860773,18732000,"%"
"Kenya",0.1724,12.6375,0.0411,0,24.2979,0.312,0.9115,0.6241,5.1897,5.4114,0.7719,0.4434,8.0145,0.0411,2.0939,0.4681,0,0,0.1314,37.3542,0.0411,1.0347,0.0082,6,"29.4",0.184686519204902,0.0032244806456434,0.153555148707219,0.0279068898520401,53528000,"%"
"Kiribati",0.0338,24.9594,0.0473,0,15.368,0.4058,16.1052,0.9131,7.6502,0.602,0.1488,4.1328,0.0203,0.0203,2.6583,0.0676,0,0,0.3179,25.0338,0,1.3731,0.142,45.6,"2.7",NA,NA,NA,NA,125000,"%"
"Korea, North",0.0287,10.0832,0,0,23.907,1.3872,2.9561,0.6218,5.099,0.3348,0.3061,1.8464,6.2757,0,2.4873,0.0287,0,0,0.0574,39.912,0,4.6398,0.0287,7.1,"47.8",NA,NA,NA,NA,25779000,"%"
"Korea, South",1.0359,25.3298,0.1804,1.0719,14.4764,1.6698,8.3539,0.4741,11.4255,1.644,0.9843,2.9221,0.3504,0.0618,0.3556,0.2268,0,0.0618,0.3762,24.6702,0,4.329,0,4.9,"<2.5",0.138699522991059,0.00238697591780769,0.111148877001217,0.0251636700720341,51781000,"%"
"Kuwait",0,23.7566,0.025,0,17.5357,2.6897,1.6178,0.9166,12.2114,6.6516,0.556,0.4758,1.8382,0.4057,0.9416,0.6211,0,0,0.4107,26.2459,0.005,2.7047,0.3907,37,"2.8",3.34606693668727,0.0201875932636964,3.20462587934342,0.121253464080153,4691000,"%"
